LSOA_code,FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n
E01000381,15,1,10,38,11,5,9,10
E01000382,4,2,10,100,7,10,6,10
E01000383,5,4,10,100,8,6,8,10
E01000384,9,7,10,100,8,10,7,10
E01000385,5,6,10,100,8,8,7,10
E01000386,5,8,10,100,7,10,7,10
E01000387,10,2,10,80,9,9,8,10
E01000388,6,10,10,100,7,10,7,10
E01000389,5,9,10,100,7,10,7,10
E01000390,4,4,10,100,6,10,6,10
E01000391,8,5,10,100,8,10,7,10
E01000392,4,10,10,100,7,10,6,10
E01000393,3,10,10,100,6,10,6,10
E01000394,5,9,10,100,7,10,7,10
E01000395,6,9,10,100,8,10,7,10
E01000396,7,6,10,100,8,10,7,10
E01000398,9,6,10,100,8,10,7,10
E01000399,5,9,10,100,7,10,7,10
E01000400,5,9,10,100,7,10,6,10
E01000401,4,10,10,100,7,10,6,10
E01000402,9,6,10,100,8,10,7,10
E01000403,5,7,10,100,7,10,7,10
E01000404,6,8,10,100,7,10,7,10
E01000405,5,4,10,100,7,10,7,10
E01000406,6,3,10,100,7,10,7,10
E01000407,9,8,10,100,8,10,8,10
E01000408,9,6,10,100,9,10,7,10
E01000409,8,10,10,100,8,10,7,10
E01000410,4,8,10,100,7,10,7,10
E01000411,7,6,10,100,8,10,7,10
E01000412,9,6,10,100,8,10,7,10
E01000413,7,6,10,100,8,10,7,10
E01000414,4,10,10,100,6,10,6,10
E01000415,5,8,10,100,7,10,7,10
E01000416,4,7,10,100,7,10,7,10
E01000417,9,7,10,100,8,10,8,10
E01000418,8,6,10,100,8,10,7,10
E01000419,9,3,10,100,8,10,8,10
E01000420,10,6,10,100,8,10,7,10
E01000421,7,4,10,100,8,10,7,10
E01000422,7,6,10,100,9,9,8,10
E01000423,7,5,10,100,8,10,7,10
E01000424,5,9,10,100,7,10,6,10
E01000425,8,3,10,100,8,10,7,10
E01000426,5,6,10,100,7,10,6,10
E01000427,5,5,10,100,7,10,6,10
E01000428,6,7,10,100,7,10,7,10
E01000429,8,4,10,100,9,9,9,10
E01000430,12,1,10,100,9,7,8,10
E01000431,8,6,10,100,8,10,8,10
E01000432,8,4,10,100,8,8,7,10
E01000433,5,5,10,100,7,9,8,10
E01000434,6,3,10,100,7,7,7,10
E01000435,5,4,10,100,7,10,9,9
E01000436,4,7,10,100,7,10,6,10
E01000437,9,6,10,100,8,10,7,10
E01000438,7,5,10,100,7,10,7,10
E01000439,4,7,10,100,6,10,6,10
E01000440,8,6,10,100,8,10,7,10
E01000441,4,6,10,100,7,10,6,10
E01000442,8,7,10,100,8,10,7,10
E01000443,7,5,10,100,8,10,8,10
E01000444,10,3,10,100,8,5,7,10
E01000445,10,3,10,100,8,9,7,10
E01000446,10,4,10,100,9,10,8,10
E01000447,4,5,10,100,6,8,6,10
E01000448,9,2,10,100,8,9,7,10
E01000449,7,3,10,100,8,9,7,10
E01000450,4,3,10,100,6,10,6,10
E01000451,7,7,10,100,8,10,7,10
E01000452,5,5,10,100,7,10,6,10
E01000453,5,9,10,100,7,10,6,10
E01000454,5,9,10,100,7,10,7,10
E01000455,6,10,10,100,7,10,6,10
E01000456,9,10,10,100,8,10,7,10
E01000457,3,9,10,100,6,10,7,10
E01000458,10,6,10,100,8,10,8,10
E01000459,5,8,10,100,7,10,6,10
E01000460,8,6,10,100,9,10,8,10
E01000461,9,8,10,100,8,10,7,10
E01000462,3,9,10,100,6,10,6,10
E01000463,7,6,10,100,8,10,7,10
E01000464,8,4,10,100,8,7,8,10
E01000465,4,5,10,100,7,7,6,10
E01000466,10,4,10,100,9,8,8,10
E01000467,4,4,10,100,6,7,6,10
E01000468,12,2,10,77,9,6,8,10
E01000469,7,6,10,100,8,8,7,10
E01000470,9,4,10,100,8,10,7,10
E01000471,7,4,10,100,8,9,8,10
E01000472,2,4,10,100,6,10,6,10
E01000473,11,6,10,100,8,10,8,10
E01000474,9,3,10,100,10,10,9,10
E01000475,9,4,10,100,8,10,7,10
E01000476,6,1,10,100,7,10,7,10
E01000477,4,2,10,100,7,10,7,10
E01000478,8,4,10,100,8,10,8,10
E01000479,9,3,10,100,8,10,7,10
E01000480,9,3,10,100,9,10,8,10
E01000481,8,4,10,100,8,10,9,10
E01000482,6,6,10,100,8,10,7,10
E01000483,5,5,10,100,7,10,6,10
E01000484,11,5,10,100,9,9,8,10
E01000485,9,7,10,100,8,10,7,10
E01000486,9,3,10,100,8,10,7,10
E01000487,6,7,10,100,7,10,6,10
E01000488,6,9,10,100,7,10,7,10
E01000489,3,8,10,100,6,10,6,10
E01000490,5,10,10,100,7,10,6,10
E01000491,10,7,10,100,8,10,8,10
E01000492,5,8,10,100,7,10,6,10
E01000493,8,5,10,100,8,10,7,10
E01000494,7,9,10,100,7,10,7,10
E01000495,8,10,10,100,8,10,7,10
E01000497,6,6,10,100,8,10,8,10
E01000498,12,2,10,100,10,10,9,10
E01000499,11,4,10,100,9,10,9,10
E01000501,11,3,10,100,9,10,9,10
E01000502,13,3,10,78,10,10,8,10
E01000503,10,3,10,84,9,10,9,10
E01000504,9,6,10,100,8,10,8,10
E01000505,9,7,10,100,8,10,7,10
E01000506,5,8,10,100,7,10,6,10
E01000507,9,9,10,100,8,10,7,10
E01000508,6,6,10,100,7,10,6,10
E01000509,5,4,10,100,7,10,7,10
E01000510,4,7,10,100,6,10,7,10
E01000511,7,7,10,100,7,10,7,10
E01000512,4,9,10,100,7,10,7,10
E01000513,6,6,10,100,8,10,7,10
E01000514,8,3,10,100,8,10,7,10
E01000515,4,7,10,100,6,10,7,10
E01000516,5,6,10,100,7,10,6,10
E01000517,7,5,10,100,8,10,7,10
E01000518,9,5,10,100,8,10,8,10
E01000519,8,4,10,100,8,10,8,10
E01000520,3,6,10,100,6,10,6,10
E01000521,4,7,10,100,7,10,7,10
E01000522,11,4,10,100,9,10,9,10
E01000523,7,5,10,100,7,10,8,10
E01000524,5,6,10,100,7,10,7,10
E01000525,7,5,10,100,7,10,7,10
E01000526,7,4,10,100,7,10,7,10
E01000527,8,4,10,100,8,10,7,10
E01000528,4,4,10,100,6,10,6,10
E01000530,9,5,10,100,8,10,7,10
E01000531,5,6,10,100,7,10,6,10
E01000532,3,9,10,100,6,10,6,10
E01000533,6,4,10,100,7,10,7,10
E01000534,7,5,10,100,7,10,7,10
E01000535,4,6,10,100,6,10,6,10
E01000536,5,4,10,100,7,10,7,10
E01000538,12,2,10,100,9,10,8,10
E01000539,9,5,10,100,8,10,7,10
E01000540,10,3,10,100,8,10,7,10
E01000541,7,2,10,100,7,10,7,10
E01000543,5,6,10,100,7,10,6,10
E01000544,8,10,10,100,8,10,7,10
E01000545,4,10,10,100,6,10,6,10
E01000546,3,9,10,100,6,10,6,10
E01000547,4,10,10,100,6,10,6,10
E01000548,4,10,10,100,7,10,7,10
E01000549,5,9,10,100,7,10,7,10
E01000550,5,10,10,100,7,10,7,10
E01000551,5,10,10,100,7,10,7,10
E01000552,9,10,10,100,8,10,7,10
E01000553,5,8,10,100,7,10,7,10
E01000554,9,5,10,100,8,10,8,10
E01000555,10,5,10,100,9,10,8,10
E01000556,4,10,10,100,6,10,7,10
E01000557,6,9,10,100,7,10,7,10
E01000558,4,9,10,100,6,10,6,10
E01000559,5,9,10,100,7,10,7,10
E01000560,6,9,10,100,7,10,6,10
E01000561,6,10,10,100,7,10,7,10
E01000562,8,4,10,100,8,10,7,10
E01000563,4,7,10,100,7,10,6,10
E01000564,5,10,10,100,7,10,6,10
E01000565,4,8,10,100,6,10,6,10
E01000566,8,7,10,100,9,10,8,10
E01000567,5,4,10,100,7,10,6,10
E01000568,7,7,10,100,8,10,8,10
E01000569,7,6,10,100,9,10,8,10
E01000570,6,8,10,100,8,10,7,10
E01000571,7,9,10,100,8,10,8,10
E01000572,7,4,10,100,8,9,6,10
E01000573,6,7,10,100,7,10,7,10
E01000574,5,7,10,100,7,9,6,10
E01000575,5,7,10,100,7,10,7,10
E01000576,6,9,10,100,7,10,6,10
E01000577,4,6,10,100,7,10,6,10
E01000578,5,7,10,100,7,10,7,10
E01000579,5,9,10,100,7,10,7,10
E01000580,4,9,10,100,6,10,7,10
E01000581,6,9,10,100,7,10,7,10
E01000582,4,8,10,100,7,10,6,10
E01000583,4,9,10,100,6,10,6,10
E01000584,6,9,10,100,7,10,7,10
E01000585,4,8,10,100,7,10,7,10
E01000586,3,10,10,100,6,10,6,10
E01000587,11,5,10,100,9,10,8,10
E01000588,8,3,10,100,8,10,7,10
E01000589,9,4,10,100,8,10,7,10
E01000590,9,7,10,100,8,10,7,10
E01000591,5,7,10,100,7,10,7,10
E01000592,6,8,10,100,7,10,7,10
E01000593,8,4,10,100,8,10,8,10
E01000594,10,6,10,100,8,10,8,10
E01000595,8,4,10,100,8,10,7,10
E01000596,9,3,10,100,8,10,8,10
E01000599,5,5,10,100,7,10,7,10
E01000600,8,3,10,100,8,10,9,10
E01000601,9,2,10,100,8,10,8,10
E01000602,11,4,10,100,9,10,7,10
E01000603,10,2,10,100,9,10,7,10
E01000604,9,4,10,100,9,9,8,9
E01000605,6,4,10,100,8,10,8,10
E01000606,6,4,10,100,7,10,7,10
E01000607,7,7,10,100,7,10,7,10
E01000608,7,8,10,100,7,10,7,10
E01000609,9,5,10,100,8,10,7,10
E01000610,9,6,10,100,8,10,7,10
E01000611,4,4,10,100,7,10,6,10
E01000612,7,7,10,100,7,10,7,10
E01000613,5,9,10,100,7,10,6,10
E01000615,9,4,10,100,8,10,8,10
E01000616,6,9,10,100,7,10,7,10
E01000617,6,5,10,100,7,10,7,10
E01000618,7,3,10,100,7,10,7,10
E01000619,8,2,10,100,9,10,8,10
E01000620,7,5,10,100,8,10,7,10
E01000621,3,6,10,100,6,10,7,10
E01000622,6,4,10,100,7,10,8,10
E01000623,5,4,10,100,7,10,6,10
E01000624,7,2,10,100,7,10,7,10
E01000625,7,5,10,100,8,10,7,10
E01000626,5,4,10,100,7,10,8,10
E01000627,5,6,10,100,7,10,8,10
E01000628,6,8,10,100,8,10,8,10
E01000629,6,4,10,100,7,10,7,10
E01000630,5,8,10,100,7,10,8,10
E01000631,11,4,10,100,9,10,8,10
E01000632,12,5,10,100,9,10,9,10
E01000633,8,6,10,100,8,10,8,10
E01000634,8,6,10,100,8,10,8,10
E01000635,4,9,10,100,7,10,6,10
E01000636,4,6,10,100,6,10,6,10
E01000637,6,9,10,100,7,10,7,10
E01000638,3,10,10,100,6,10,6,10
E01000639,3,9,10,100,6,10,6,10
E01000640,2,10,10,100,6,10,6,10
E01000641,6,8,10,100,7,10,7,10
E01000642,2,10,10,100,6,10,6,10
E01000643,8,8,10,100,8,10,7,10
E01000644,5,9,10,100,7,10,7,10
E01000645,12,2,10,100,9,10,7,10
E01000646,6,4,10,100,7,10,6,10
E01000647,4,4,10,100,7,10,6,10
E01000648,5,5,10,100,7,10,6,10
E01000649,12,1,10,72,9,9,8,10
E01000650,12,3,10,100,9,10,7,10
E01000651,10,5,10,100,9,10,8,10
E01000652,7,3,10,100,7,10,6,10
E01000653,12,2,10,65,9,10,8,10
E01000654,12,2,9,76,9,3,8,6
E01000655,14,1,7,52,10,3,9,5
E01000656,8,3,10,100,8,4,7,10
E01000657,4,4,10,100,7,4,6,10
E01000658,6,3,10,100,8,4,7,8
E01000659,10,2,9,100,9,3,8,7
E01000661,12,4,10,100,9,9,8,10
E01000662,7,3,10,100,7,10,7,10
E01000663,5,7,10,100,7,10,7,10
E01000664,7,5,10,100,8,8,7,10
E01000665,6,4,10,100,7,8,7,10
E01000666,10,4,10,100,9,7,7,10
E01000667,7,4,10,100,7,6,7,10
