Mobility(Stage 2),Grocery(Super),Grocery(Large),Grocery(Medium),Grocery(Small),NNI,PointsDens,FoodPTt,FoodPT15n,FoodCyct,FoodCyc15n,FoodCart,DTN,NP(500m),NP(1km),NP(2km),AG(0-18),AG(19-34),AG(35-49),AG(50-64),AG(65+),InDe,CO(0),CO(1),CO(2),CO(3),CO(4+),pop_den,employee/pop
-7.2,0.037974684,0.088607595,0.265822785,0.607594937,0.791747099,0.022,5.094972067,8.279329609,6.849162011,9.938547486,6.731843575,363.9791545,2.13807454,7.977189795,30.04732208,0.201488504,0.344562287,0.23683491,0.123934966,0.093179333,0,0.453227376,0.432276061,0.096817454,0.013778517,0.003900592,89.30778967,0.374904624
-5.872727273,0.01754386,0.087719298,0.263157895,0.631578947,1.151941377,0.033,4.132743363,9.725663717,6.477876106,10,6.433628319,257.2200532,3.25759548,11.90173542,42.23677914,0.199236386,0.317724765,0.239418093,0.140700072,0.102920684,0,0.552475493,0.366000745,0.070244447,0.009058196,0.002221119,104.5873025,0.694108467
-5.936363636,0.078947368,0.105263158,0.315789474,0.5,1.005914982,0.031,4.223300971,9.650485437,6.436893204,10,6.660194175,262.8407279,2.713775147,10.85380679,41.11574403,0.188021127,0.254782482,0.243381882,0.170343223,0.143471286,0.1,0.560023429,0.342085158,0.07899562,0.013318733,0.00557706,127.3527733,0.738984598
-4.445454545,0.012345679,0.086419753,0.308641975,0.592592593,0.849725744,0.037,4.390625,9.7265625,6.6015625,10,6.7578125,292.666407,3.33339201,12.26428055,43.46361699,0.185068861,0.308651707,0.241561046,0.147569738,0.117148647,0,0.629003895,0.301299021,0.056063987,0.009454298,0.0041788,109.9856787,2.392659483
-4.418181818,0.025974026,0.064935065,0.363636364,0.545454545,0.836658495,0.035,4.413533835,9.436090226,6.571428571,10,6.789473684,308.358489,3.158545934,12.39799059,44.7692396,0.200440556,0.325165209,0.220452254,0.137024546,0.116917435,0,0.611017696,0.317745607,0.059025571,0.009350585,0.002860541,110.6317223,1.129876918
-5.563636364,0.046875,0.046875,0.21875,0.6875,0.959920817,0.03,4.569444444,9.1875,6.805555556,9.986111111,6.868055556,317.8271627,2.688857411,10.10416789,39.50248657,0.230960994,0.395138127,0.214397973,0.099591513,0.059911393,0,0.630050268,0.319276692,0.043947579,0.005145323,0.001580138,136.8416515,0.79504532
-5.163636364,0.015625,0.046875,0.390625,0.546875,0.910609713,0.043,4.349593496,9.772357724,6.617886179,10,6.528455285,287.0344606,3.395307403,13.4765597,51.91547303,0.186357009,0.383724505,0.213582383,0.128454228,0.087881876,0,0.64651118,0.304705203,0.041835906,0.005237505,0.001710206,153.259418,0.734145249
-6.518181818,0,0.088888889,0.333333333,0.577777778,1.025374739,0.024,5.743055556,8.284722222,6.965277778,10,7,355.917045,1.993714428,8.080275327,33.6533829,0.237597999,0.341575932,0.228832493,0.12012981,0.071863767,0.1,0.646287737,0.306391976,0.040603796,0.00516275,0.001553742,141.2193383,0.385132096
-7.036363636,0.068181818,0.068181818,0.409090909,0.454545455,0.858039079,0.015,6.213793103,6.324137931,7.213793103,9.993103448,7.027586207,421.5562666,1.495605758,5.137351245,19.08890477,0.234028674,0.286538349,0.243718482,0.142983318,0.092731177,0.1,0.518375754,0.381648767,0.083438772,0.013074396,0.003462312,92.1888604,0.296854843
-7.518181818,0.093023256,0.046511628,0.441860465,0.418604651,0.878817844,0.011,6.109756098,6.56097561,7.213414634,9.817073171,6.993902439,488.8955844,1.261572094,4.459375195,15.95812921,0.26428638,0.331641713,0.209959227,0.123755698,0.070356983,0,0.520582354,0.379544716,0.082792384,0.013652617,0.00342793,86.27105666,0.312144512
-7.190909091,0.064516129,0.129032258,0.290322581,0.516129032,1.267262067,0.008,6.281818182,6.3,7.254545455,9.809090909,6.927272727,484.3167194,0.88599194,3.103688952,11.0487633,0.312369108,0.235979978,0.216477951,0.138103466,0.097069497,0,0.396349077,0.433159685,0.1371536,0.026678722,0.006658917,53.43453087,0.289356814
-3.445454545,0,0,0.289473684,0.710526316,1.330745597,0.121,3.166666667,10,6.333333333,10,6.833333333,154.0307424,7.674519082,32.65528238,102.4968625,0.129908676,0.301712329,0.223630137,0.189497717,0.155251142,0,0.69395667,0.250855188,0.03945268,0.011630559,0.004104903,27.81464524,40.71986301
