LSOA11CD,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n,PointsDens,0-18,19-34,35-49,50-64,65+,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,employee/pop
E01001278,0,0,0,0,6,5,10,100,7,10,7,10,0,0.199509804,0.174509804,0.273529412,0.225980392,0.126470588,0.324594257,0.466916355,0.15855181,0.034956305,0.014981273,1014.429,0,1,15,45.08287293,0.42254902
E01001279,0,0,0,0,13,1,10,80,9,10,8,10,0,0.213194444,0.125,0.1625,0.268055556,0.23125,0.111702128,0.515957447,0.324468085,0.046099291,0.00177305,870.26,0,3,13,56.8945081,0.136111111
E01001280,0,0,0,0,13,3,10,100,9,10,8,10,0,0.259199134,0.13961039,0.258658009,0.214285714,0.128246753,0.289002558,0.52173913,0.150895141,0.028132992,0.010230179,1035.484,0,0,15,49.79789814,0.210497835
E01001281,0,0,0,0,8,3,10,100,8,10,7,10,0,0.240581626,0.115664243,0.177131527,0.254461335,0.212161269,0.2064,0.5504,0.2112,0.0256,0.0064,408.168,1,2,15,52.57123002,0.214144085
E01001282,0,0,0,0,8,2,10,100,7,10,7,10,0,0.215822346,0.125607217,0.197085357,0.271339348,0.190145732,0.406698565,0.421052632,0.140350877,0.023923445,0.007974482,421.214,1,1,15,96.00266489,0.147814018
E01001283,0,0,0,0,5,7,10,100,7,10,6,10,0,0.209478022,0.125686813,0.203296703,0.263049451,0.198489011,0.491573034,0.391853933,0.094101124,0.021067416,0.001404494,199.837,1,3,15,55.8496356,0.28228022
E01001284,0,0,0,0,7,6,10,100,8,10,7,10,0,0.230458221,0.119272237,0.200134771,0.274932615,0.175202156,0.226765799,0.468401487,0.237918216,0.055762082,0.011152416,307.607,1,4,10,31.38747885,0.193396226
E01001285,0,0,0,1,5,7,10,100,6,10,6,10,0.469,0.249256395,0.179060083,0.229625223,0.229625223,0.112433076,0.297153025,0.501779359,0.167259786,0.024911032,0.008896797,208.804,1,1,14,78.84615385,0.174301011
E01001286,0,0,0,0,9,5,10,100,7,10,7,10,0,0.28875969,0.142764858,0.197674419,0.249354005,0.121447028,0.362903226,0.466129032,0.148387097,0.019354839,0.003225806,652.453,0,1,14,72.47191011,0.136950904
E01001287,0,0,0,0,7,4,10,100,8,10,8,10,0,0.272277228,0.169731259,0.186704385,0.257425743,0.113861386,0.339544513,0.459627329,0.169772257,0.031055901,0,414.455,1,2,10,153.362256,0.103960396
E01001288,0,0,0,0,6,7,10,100,6,10,7,10,0,0.255730659,0.139684814,0.216332378,0.267191977,0.121060172,0.252354049,0.525423729,0.177024482,0.030131827,0.015065913,694.108,0,2,12,80.74031232,0.401146132
E01001289,0,0,0,0,5,7,10,100,7,10,7,10,0,0.231007752,0.147286822,0.203875969,0.288372093,0.129457364,0.279411765,0.470588235,0.199579832,0.042016807,0.008403361,702.811,0,5,13,102.8708134,0.168217054
E01001290,0,0,0,0,4,9,10,100,7,10,6,10,0,0.227122381,0.157662624,0.232635061,0.254134509,0.128445424,0.322493225,0.471544715,0.161246612,0.032520325,0.012195122,634.128,0,1,12,35.78615111,0.286659316
E01001291,0,0,0,0,6,5,10,100,7,10,7,10,0,0.263390044,0.13673598,0.216761185,0.258979206,0.124133585,0.21010101,0.458585859,0.244444444,0.060606061,0.026262626,586.791,0,4,12,95.77549789,0.11279143
E01001292,0,0,0,0,6,4,10,100,7,10,7,10,0,0.177240026,0.168737737,0.189012426,0.294964029,0.170045782,0.196428571,0.400793651,0.277777778,0.091269841,0.033730159,511.771,0,3,9,82.027897,0.124918247
E01001293,0,0,0,0,5,3,10,100,7,10,7,10,0,0.209655172,0.166206897,0.208965517,0.27862069,0.136551724,0.240585774,0.430962343,0.242677824,0.066945607,0.018828452,776.456,0,3,11,99.45130316,0.147586207
E01001294,0,0,0,0,9,3,10,100,8,10,7,10,0,0.238618524,0.138670853,0.216117216,0.256933543,0.149659864,0.189591078,0.421933086,0.241635688,0.105947955,0.040892193,769.198,0,3,12,64.34343434,0.1711146
E01001295,0,0,0,0,8,3,10,100,8,10,7,10,0,0.203931204,0.147420147,0.225429975,0.285626536,0.137592138,0.186180422,0.426103647,0.266794626,0.092130518,0.028790787,920.872,0,2,9,101.75,0.08968059
E01001296,0,0,0,0,11,2,10,100,8,10,7,10,0,0.187317784,0.173469388,0.201895044,0.288629738,0.148688047,0.237623762,0.378712871,0.257425743,0.096534653,0.02970297,1114.276,0,0,8,86.72566372,0.139212828
E01001297,0,0,0,0,13,3,10,100,10,10,8,10,0,0.228254524,0.151196731,0.235259778,0.247518973,0.137769994,0.262626263,0.414141414,0.224242424,0.072727273,0.026262626,986.203,0,2,7,68.41054313,0.173963806
E01001298,0,0,0,0,12,3,10,100,9,10,8,10,0,0.20556502,0.141964793,0.214650767,0.264622374,0.173197047,0.330812854,0.345935728,0.215500945,0.081285444,0.026465028,773.018,0,1,8,100.3990878,0.181147076
E01001299,0,0,0,1,6,7,10,100,7,10,7,10,0.438,0.204426325,0.150262085,0.171228888,0.281304601,0.192778101,0.19969278,0.509984639,0.233486943,0.046082949,0.010752688,283.004,1,3,16,75.27400263,0.259172976
E01001300,0,0,0,0,5,10,10,100,7,10,6,10,0,0.253258845,0.132216015,0.247051521,0.253258845,0.114214773,0.259868421,0.575657895,0.148026316,0.011513158,0.004934211,330.613,3,4,21,117.0784884,0.20918684
E01001301,0,0,0,0,5,9,10,100,7,10,7,10,0,0.197399527,0.158392435,0.312647754,0.209219858,0.122340426,0.434229137,0.455445545,0.096181047,0.011315417,0.002828854,285.848,1,4,22,67.3566879,0.430260047
E01001302,0,0,0,0,3,9,10,100,7,10,6,10,0,0.226666667,0.148571429,0.248888889,0.25968254,0.116190476,0.304560261,0.51465798,0.157980456,0.019543974,0.003257329,481.021,1,7,19,46.74977738,0.257142857
E01001303,0,0,0,1,3,9,10,100,6,10,6,10,0.622,0.215747055,0.174209547,0.225046497,0.259144451,0.125852449,0.296474359,0.543269231,0.141025641,0.016025641,0.003205128,265.964,3,4,23,100.3733665,0.326100434
E01001304,0,0,0,0,8,10,10,100,8,10,7,10,0,0.195734003,0.159974906,0.273525721,0.253450439,0.117314931,0.365957447,0.50070922,0.120567376,0.007092199,0.005673759,674.108,0,5,12,137.7700951,0.141781681
E01001305,0,0,0,0,7,7,10,100,7,10,7,10,0,0.22139765,0.123067409,0.194186766,0.303030303,0.158317873,0.194006309,0.531545741,0.228706625,0.039432177,0.006309148,654.317,0,7,18,107.2992701,0.165739023
E01001306,0,0,0,0,5,7,10,100,7,10,6,10,0,0.217312349,0.115617433,0.237288136,0.283898305,0.145883777,0.283309958,0.548387097,0.1542777,0.011220196,0.002805049,339.863,2,6,20,107.5520833,0.233050847
E01001307,0,0,0,0,8,3,10,100,8,10,8,10,0,0.212938005,0.157951482,0.241509434,0.247978437,0.139622642,0.227488152,0.473933649,0.232227488,0.050552923,0.015797788,622.734,0,3,10,32.40174672,0.292183288
E01001308,0,0,0,0,9,2,10,100,8,10,7,10,0,0.181214906,0.16590097,0.216947422,0.255232261,0.180704441,0.203240059,0.463917526,0.259204713,0.057437408,0.016200295,488.44,1,1,11,17.62641713,0.169984686
E01001309,0,0,0,0,9,5,10,100,9,10,8,10,0,0.217613636,0.176136364,0.227840909,0.260227273,0.118181818,0.164495114,0.504885993,0.247557003,0.058631922,0.024429967,916.168,0,4,12,52.67883867,0.263068182
E01001310,0,0,0,1,7,5,10,100,8,10,8,10,0.421,0.223905724,0.17003367,0.237373737,0.246352413,0.122334456,0.247360483,0.503770739,0.191553544,0.039215686,0.018099548,296.403,2,3,13,75,0.115039282
E01001311,0,0,0,0,11,4,10,100,9,10,9,10,0,0.247937894,0.180494905,0.214459,0.242600679,0.114507521,0.310708899,0.447963801,0.19306184,0.045248869,0.003016591,679.634,0,1,12,64.16562889,0.629791363
E01001312,0,1,0,0,5,5,10,100,7,10,7,10,0.488,0.202680067,0.170854271,0.217755444,0.252372976,0.156337242,0.261016949,0.420338983,0.245762712,0.06440678,0.008474576,225.48,1,2,10,87.36585366,0.216080402
E01001313,0,0,0,0,12,3,10,100,9,10,8,10,0,0.186846958,0.171481254,0.232329441,0.251997541,0.157344806,0.215116279,0.432170543,0.263565891,0.067829457,0.021317829,764.425,0,3,9,94.10063621,0.127842655
E01001314,0,0,0,0,13,2,10,100,9,10,9,10,0,0.203908795,0.153745928,0.248208469,0.252117264,0.142019544,0.201581028,0.436758893,0.294466403,0.055335968,0.011857708,803.775,0,2,6,52.35334243,0.174592834
E01001315,0,0,0,0,9,4,10,100,8,10,8,10,0,0.230210603,0.152505447,0.229484386,0.270878722,0.116920842,0.214141414,0.509090909,0.236363636,0.032323232,0.008080808,557.559,0,2,13,83.75912409,0.145243282
E01001316,0,0,0,0,6,4,10,100,8,10,7,10,0,0.246701847,0.163588391,0.243403694,0.23944591,0.106860158,0.441935484,0.414516129,0.129032258,0.014516129,0,300.587,2,2,11,83.2967033,0.149736148
E01001317,0,0,0,0,10,3,10,100,9,9,8,10,0,0.261004661,0.161574314,0.259451062,0.226307613,0.091662351,0.298833819,0.482507289,0.180758017,0.032069971,0.005830904,855.756,0,2,13,57.1978673,0.223200414
E01001318,0,0,0,0,9,5,10,100,9,10,8,10,0,0.261721068,0.141246291,0.214243323,0.245103858,0.13768546,0.410635155,0.434268833,0.125553914,0.022156573,0.007385524,661.579,0,4,10,66.20825147,0.127002967
E01001319,0,0,0,0,11,5,10,100,9,10,8,10,0,0.231707317,0.170731707,0.223577236,0.232384824,0.141598916,0.208163265,0.444897959,0.259183673,0.065306122,0.02244898,784.931,0,3,13,105.5039314,0.10298103
E01001320,0,0,0,0,13,2,10,100,10,6,9,10,0,0.289650538,0.183467742,0.176075269,0.238575269,0.112231183,0.370786517,0.470037453,0.123595506,0.033707865,0.001872659,696.608,0,3,14,32.48908297,0.106854839
E01001321,0,0,0,0,8,2,10,100,8,8,8,10,0,0.245107632,0.153620352,0.226516634,0.217221135,0.157534247,0.290237467,0.457783641,0.203166227,0.038258575,0.01055409,387.494,2,3,14,61.65912519,0.214285714
E01001322,0,0,0,0,7,5,10,100,8,9,8,10,0,0.221979224,0.151448879,0.22963368,0.264625478,0.132312739,0.259968102,0.526315789,0.175438596,0.028708134,0.009569378,274.441,1,2,13,33.54732208,0.603608529
E01001323,0,0,0,1,4,5,10,100,7,9,7,10,0.591,0.228346457,0.141169854,0.269966254,0.237907762,0.122609674,0.33625731,0.476608187,0.140350877,0.039473684,0.007309942,118.61,2,3,14,52.52584934,0.348706412
E01001324,0,0,0,0,12,4,10,100,9,9,9,10,0,0.259632484,0.169531713,0.236514523,0.238292828,0.096028453,0.354984894,0.51510574,0.104229607,0.016616314,0.009063444,359.915,1,5,10,53.31858407,0.091879075
E01001325,0,0,0,0,4,4,10,100,7,8,6,10,0,0.252934272,0.159037559,0.16842723,0.267018779,0.15258216,0.279069767,0.382059801,0.239202658,0.074750831,0.024916944,839.471,0,1,8,17.90856542,0.160798122
E01001326,0,0,0,1,10,4,10,100,9,8,9,10,0.135,0.269650029,0.152036718,0.196213425,0.251864601,0.130235227,0.421364985,0.387240356,0.145400593,0.035608309,0.010385757,387.776,1,6,12,23.5508715,0.336201951
E01001327,0,1,0,0,5,5,10,100,7,10,8,10,0.719,0.244081172,0.174182638,0.191093574,0.265501691,0.125140924,0.31,0.398333333,0.223333333,0.046666667,0.021666667,232.494,4,4,10,63.76707405,0.158399098
E01001328,0,0.5,0,0.5,6,5,10,100,7,10,7,10,0.522,0.277713626,0.173210162,0.213048499,0.222286374,0.113741339,0.408064516,0.375806452,0.167741935,0.035483871,0.012903226,97.741,4,5,10,45.17475222,0.169745958
E01001329,0,0,0,0,6,5,10,100,7,10,7,10,0,0.274985557,0.149624495,0.198729058,0.242634315,0.134026574,0.270998415,0.469096672,0.198098257,0.045958796,0.015847861,310.838,2,4,11,57.33686651,0.095320624
E01001330,0,0,0,0,11,4,10,100,9,9,9,10,0,0.306378132,0.143507973,0.218678815,0.232346241,0.099088838,0.432389937,0.411949686,0.130503145,0.018867925,0.006289308,394.751,1,5,10,59.1444931,0.082574032
E01001331,0,0,0,0,5,6,10,100,7,10,7,10,0,0.310473815,0.182668329,0.210099751,0.223815461,0.072942643,0.406148867,0.46763754,0.108414239,0.009708738,0.008090615,263.531,3,4,11,112.6404494,0.103491272
E01001332,0,0,0,0,12,4,10,100,9,10,8,10,0,0.278122843,0.15942029,0.219461698,0.237405107,0.105590062,0.378238342,0.462867012,0.13298791,0.018998273,0.006908463,780.625,0,7,10,105.6122449,0.102829538
E01001333,0,0,0,0,8,3,10,100,8,9,8,10,0,0.249015317,0.154923414,0.234573304,0.235886214,0.125601751,0.474245115,0.357015986,0.104795737,0.040852575,0.023090586,448.696,1,3,6,82.13515457,0.298468271
E01001334,0,0,0,0,11,1,10,100,9,8,9,10,0,0.23726628,0.179239201,0.20696325,0.25660864,0.119922631,0.423371648,0.381226054,0.151340996,0.030651341,0.013409962,1026.352,0,1,5,97.60855884,0.111540941
E01001335,0,0,0,0,12,2,10,76,9,9,7,10,0,0.187965616,0.140974212,0.178796562,0.273352436,0.218911175,0.200381679,0.301526718,0.276717557,0.129770992,0.091603053,972.359,0,1,6,35.54695457,0.162750716
E01001336,0,0,0,0,8,5,10,100,7,9,7,10,0,0.228226319,0.131595677,0.197075652,0.251748252,0.1913541,0.289017341,0.389210019,0.202312139,0.082851638,0.036608863,719.76,0,3,8,62.07576953,0.183089638
E01001337,0,0,0,0,9,4,10,75,8,10,8,10,0,0.216014898,0.203600248,0.255121043,0.243327126,0.081936685,0.309734513,0.440265487,0.17699115,0.059734513,0.013274336,1029.695,0,0,7,13.22985957,1.9044072
E01001338,0,0,0,0,8,4,10,100,8,9,8,10,0,0.217215482,0.139803582,0.244945118,0.24610052,0.151935298,0.322393822,0.362934363,0.21042471,0.065637066,0.038610039,620.379,0,2,4,31.64533821,1.175043328
E01001339,0,0,0,0,18,0,10,0,11,5,10,10,0,0.249828415,0.17158545,0.201784489,0.264241592,0.112560055,0.322183099,0.413732394,0.174295775,0.056338028,0.033450704,1069.632,0,0,5,20.06334343,1.42759094
