objectid,lsoa11cd,lsoa11nm,Borough,All Ages,HubName,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
21738,E01002937,Kingston upon Thames 004D,Kingston upon Thames,1862 ,1010001008,424.7360657,1,8,15
21739,E01002934,Kingston upon Thames 004B,Kingston upon Thames,2234 ,1010008123,250.5985386,1,3,13
21740,E01002935,Kingston upon Thames 003A,Kingston upon Thames,2266 ,1010003596,353.6220767,1,4,14
21741,E01002932,Kingston upon Thames 006A,Kingston upon Thames,2066 ,1010010558,309.1738179,1,3,9
21742,E01002933,Kingston upon Thames 004A,Kingston upon Thames,2133 ,1010008123,296.3848121,1,7,15
21743,E01002931,Kingston upon Thames 007C,Kingston upon Thames,2030 ,1010007168,289.8792528,2,5,11
21744,E01002938,Kingston upon Thames 003B,Kingston upon Thames,2164 ,1010008123,200.0033365,1,4,13
22153,E01003010,Kingston upon Thames 001E,Kingston upon Thames,1539 ,1010003034,719.8807115,0,2,12
22155,E01003011,Kingston upon Thames 004E,Kingston upon Thames,1855 ,1010003034,354.3765044,1,6,14
22280,E01003836,Richmond upon Thames 022C,Richmond upon Thames,1440 ,1010014001,432.0496784,2,4,9
22281,E01003837,Richmond upon Thames 022D,Richmond upon Thames,2008 ,1010015785,480.8382322,1,2,15
22282,E01003834,Richmond upon Thames 022A,Richmond upon Thames,2239 ,1010006677,482.0159067,1,7,15
22283,E01003835,Richmond upon Thames 022B,Richmond upon Thames,1659 ,1010015785,377.0650818,1,3,14
22504,E01002966,Kingston upon Thames 010C,Kingston upon Thames,2018 ,1010015677,189.0593464,1,4,20
22505,E01002967,Kingston upon Thames 009B,Kingston upon Thames,2719 ,1010006684,482.998702,1,6,14
22506,E01002964,Kingston upon Thames 005A,Kingston upon Thames,3469 ,1010015677,556.3887029,0,8,19
22507,E01002965,Kingston upon Thames 009A,Kingston upon Thames,2053 ,1010015200,78.68058563,1,7,16
22508,E01002962,Kingston upon Thames 006C,Kingston upon Thames,1856 ,1010005096,256.925112,2,3,9
22509,E01002963,Kingston upon Thames 007D,Kingston upon Thames,1957 ,1010005103,280.9389487,2,4,10
22510,E01002960,Kingston upon Thames 006B,Kingston upon Thames,1755 ,1010005096,267.523872,1,5,15
22511,E01002961,Kingston upon Thames 008D,Kingston upon Thames,1607 ,1010005103,781.8918466,0,4,10
22512,E01002968,Kingston upon Thames 009C,Kingston upon Thames,3223 ,1010003029,139.2564624,5,9,18
22513,E01002969,Kingston upon Thames 005B,Kingston upon Thames,1901 ,1010001008,379.251621,2,6,14
22552,E01003838,Richmond upon Thames 022E,Richmond upon Thames,1857 ,1010015785,122.7750207,1,3,14
22553,E01003839,Richmond upon Thames 022F,Richmond upon Thames,2228 ,1010015785,528.601257,0,3,15
23072,E01002946,Kingston upon Thames 019C,Kingston upon Thames,1472 ,1010003600,747.8041042,0,1,6
23073,E01002947,Kingston upon Thames 019D,Kingston upon Thames,1586 ,1010003600,243.1540852,1,5,7
23074,E01002944,Kingston upon Thames 019A,Kingston upon Thames,1391 ,1010016102,568.4579331,0,2,11
23075,E01002945,Kingston upon Thames 019B,Kingston upon Thames,1552 ,1010003600,436.4464107,1,2,7
23076,E01002942,Kingston upon Thames 018C,Kingston upon Thames,1397 ,1010005106,279.3985829,4,6,7
23077,E01002943,Kingston upon Thames 020B,Kingston upon Thames,1430 ,1010007169,595.9408575,1,4,7
23078,E01002940,Kingston upon Thames 020A,Kingston upon Thames,1664 ,1010005106,255.3013865,2,6,7
23079,E01002941,Kingston upon Thames 018B,Kingston upon Thames,1630 ,1010012757,232.3077185,3,6,7
23080,E01002948,Kingston upon Thames 020C,Kingston upon Thames,2213 ,1010007169,446.5419407,1,1,6
23081,E01002949,Kingston upon Thames 020D,Kingston upon Thames,1924 ,1010007169,81.64411273,1,4,7
23088,E01003470,Merton 020E,Merton,1790 ,1010015832,259.1190583,1,3,10
23476,E01033568,Kingston upon Thames 004F,Kingston upon Thames,3483 ,1010003034,210.1558164,6,7,14
23477,E01033569,Kingston upon Thames 004G,Kingston upon Thames,1906 ,1010005102,299.6267349,2,8,15
23521,E01002926,Kingston upon Thames 010B,Kingston upon Thames,1608 ,1010016992,1102.696665,0,0,21
23522,E01002927,Kingston upon Thames 008A,Kingston upon Thames,1627 ,1010010558,560.5892026,0,2,12
23523,E01002924,Kingston upon Thames 014E,Kingston upon Thames,1501 ,1010003599,875.1435601,0,3,15
23524,E01002925,Kingston upon Thames 013B,Kingston upon Thames,1629 ,1010014593,362.1280924,2,5,13
23525,E01002922,Kingston upon Thames 010A,Kingston upon Thames,1604 ,1010010582,712.5760814,0,5,16
23526,E01002923,Kingston upon Thames 013A,Kingston upon Thames,1801 ,1010010582,257.3885812,1,7,14
