,Stage3,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median,0-18,19-34,35-49,50-64,65+,Total_pop,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Total_car,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,NNI,z.score,p,expected.mean.distance,observed.mean.distance,Employee,employee/pop
FoodCyct,0.196667557,0.315035594,-0.029418036,0.547878503,-0.456330203,0.985265772,-0.960340639,-0.458829991,-0.86551956,-0.194834334,1,-0.723708478,-0.353546308,-0.325898883,-0.325898883,-0.597703985,-0.325898883,-0.325898883,-0.325898883,0.882939975,-0.392301486,-0.127079386,-0.709284252,0.921016064,0.914848938,-0.768965247,-0.783664536,-0.75021373,-0.745302032,-0.804719226,-0.78747488,0.696155326,-0.722335712,-0.366301316,0.440639561,0.462115056,0.483300824,-0.288000474,0.291095753,-0.291148021,0.293100386,-0.037696817,0.22663324,-0.203860278,0.28614333,-0.22807161,0.232347333,-0.112895371,0.095757576,-0.199899703,0.178917928,-0.441317788,0.430340387,0.113415652,-0.20815057,-0.138264029,0.144622405,1.40E-16,0.196733123,-0.442098044,0.403216835,0.037493868,-0.152193012,0.311195748,-0.296907355,0.330420248,-0.335863965,,-0.242758678,-0.410972113,0.401600401,-0.283973009,0.318844811,,0.403333097,-0.090240257,0.130398103,0.013228647,0.117902482,-0.366688368,0.388126486,-0.0151074,0.013596371,0.02814189,-0.02285846,0.019932969,-0.204622141,-0.804739246,0.753631903,-0.829798987,0.759633495,-0.737323134,0.836810495,-0.881877322,0.781416128,0.887553969,0.884786126,0.852792113,0.87989551,0.915314258,-0.774977184,-0.750716758,-0.807603088,-0.729993592,-0.39731824,-0.381426086,-0.140169458,0.88059245,0.751240147,-0.482779618,-0.348861102
FoodCyc15n,0.06028181,-0.217712591,0.135380294,-0.345534576,0.198522859,-0.709965666,0.715063422,0.852023702,0.881918392,0.41171283,-0.723708478,1,0.125874857,0.087636282,0.087636282,0.532333613,0.087636282,0.087636282,0.087636282,-0.56955377,0.348425819,-0.05140063,0.425953784,-0.700302909,-0.687684344,0.458247156,0.500676926,0.439609359,0.436064994,0.493819035,0.480071919,-0.382468902,0.587213851,0.454649542,-0.496415047,-0.54215448,-0.310565128,0.328029364,-0.32858224,0.333463,-0.309816822,0.208028817,-0.301782076,0.231654967,-0.287170686,0.184210175,-0.209230576,0.252186532,-0.233193136,0.40082467,-0.271323467,0.36181399,-0.382205336,0.042926222,0.037806298,0.208974695,-0.21775507,-6.22E-15,-0.246409747,0.237913212,-0.386883545,0.075973148,0.021304692,-0.270936964,0.278575078,-0.295836786,0.305020986,,0.540046143,0.305302528,-0.296856573,0.220477504,-0.246523951,,-0.347241223,0.144593175,-0.152760758,0.087613986,-0.138675591,0.260073206,-0.281503295,0.168103474,-0.095270545,0.15221991,-0.071478593,0.135292095,0.034723175,0.740155721,-0.749371464,0.706738693,-0.729246198,0.457815044,-0.634646546,0.683808649,-0.510311231,-0.736950674,-0.76161221,-0.807038154,-0.749280381,-0.698573767,0.46370169,0.437703936,0.494277376,0.646824343,0.277445281,0.28580325,0.180710872,-0.712731981,-0.59410824,0.209843258,0.146354836
FoodCyc30n,0.127987174,-0.180430224,0.174783715,0.077580261,-0.102813676,-0.265242287,0.185197554,0.065694534,0.329666758,-0.036452947,-0.353546308,0.125874857,1,0.984281894,0.984281894,0.434893627,0.984281894,0.984281894,0.984281894,-0.237101802,0.07119024,-0.279214765,0.107779681,-0.139231434,-0.152573462,0.108875284,0.070590827,0.114277717,0.090734577,0.128614773,0.121354239,-0.077538188,0.16092958,0.063405906,-0.087573919,-0.18334375,-0.30898401,0.180484323,-0.183942445,0.188790229,-0.181448581,0.087139209,-0.154541453,0.106996599,-0.167655345,0.102253698,-0.12367928,0.120482532,-0.112247348,0.166251015,-0.123550375,0.181887242,-0.180896582,-0.055375672,0.074653899,0.13029509,-0.139288966,1.09E-13,-0.140778263,0.065209013,-0.173092293,-0.054604224,0.071821011,0.187339518,-0.198845757,0.183101573,-0.191259207,,-0.060486416,0.291302128,-0.303810672,0.298872158,-0.289100985,,-0.106115882,0.087736442,-0.087560829,0.053754826,-0.088967217,0.181621123,-0.177492111,-0.004145903,0.073622657,0.026014874,0.080135115,0.075637048,0.091209423,0.175141847,-0.148427542,0.180892561,-0.163297681,0.164271766,-0.162071365,0.192153857,-0.13924121,-0.217533445,-0.197924584,-0.196043829,-0.393255259,-0.133828814,0.108088338,0.1142272,0.128626396,0.17369527,0.312785333,0.37593679,0.157152587,-0.199353277,-0.008485259,0.020517546,0.041058721
FoodCyc45n,0.083300075,-0.121551983,0.147101238,0.065721375,-0.102025956,-0.239474088,0.166523279,-0.018417301,0.289080853,-0.03125,-0.325898883,0.087636282,0.984281894,1,1,0.353927366,1,1,1,-0.241027556,-0.04821954,-0.235822447,0.087278719,-0.1052398,-0.127203336,0.0901254,0.060515365,0.095692897,0.073071078,0.106957225,0.09822295,-0.075874868,0.114165587,0.060444695,-0.04511622,-0.126307319,-0.285151147,0.140366168,-0.142592964,0.153347145,-0.143296748,0.074701788,-0.133238782,0.091724923,-0.151069043,0.104138471,-0.121319388,0.079796682,-0.069190858,0.142521928,-0.084426397,0.155926389,-0.18165891,-0.070771967,0.080762584,0.098833844,-0.107788078,8.83E-14,-0.112342845,0.055901699,-0.149115352,-0.066203792,0.073315939,0.173031414,-0.178579317,0.171642438,-0.175790236,,-0.051853161,0.257906144,-0.268986909,0.267909748,-0.254698629,,-0.090969911,0.066104061,-0.066461008,0.039683627,-0.068184415,0.19107175,-0.175582834,-0.017298267,0.069340895,0.009831959,0.07758586,0.055837822,0.098775665,0.118087855,-0.084918186,0.131169448,-0.099303611,0.140825178,-0.119338008,0.155507419,-0.113195165,-0.177192028,-0.157679194,-0.148221807,-0.329945956,-0.097226315,0.088288685,0.095386946,0.106916313,0.132908276,0.276912533,0.331997512,0.134724093,-0.13047885,0.033184103,0.012846982,0.035209598
FoodCyc60n,0.083300075,-0.121551983,0.147101238,0.065721375,-0.102025956,-0.239474088,0.166523279,-0.018417301,0.289080853,-0.03125,-0.325898883,0.087636282,0.984281894,1,1,0.353927366,1,1,1,-0.241027556,-0.04821954,-0.235822447,0.087278719,-0.1052398,-0.127203336,0.0901254,0.060515365,0.095692897,0.073071078,0.106957225,0.09822295,-0.075874868,0.114165587,0.060444695,-0.04511622,-0.126307319,-0.285151147,0.140366168,-0.142592964,0.153347145,-0.143296748,0.074701788,-0.133238782,0.091724923,-0.151069043,0.104138471,-0.121319388,0.079796682,-0.069190858,0.142521928,-0.084426397,0.155926389,-0.18165891,-0.070771967,0.080762584,0.098833844,-0.107788078,8.83E-14,-0.112342845,0.055901699,-0.149115352,-0.066203792,0.073315939,0.173031414,-0.178579317,0.171642438,-0.175790236,,-0.051853161,0.257906144,-0.268986909,0.267909748,-0.254698629,,-0.090969911,0.066104061,-0.066461008,0.039683627,-0.068184415,0.19107175,-0.175582834,-0.017298267,0.069340895,0.009831959,0.07758586,0.055837822,0.098775665,0.118087855,-0.084918186,0.131169448,-0.099303611,0.140825178,-0.119338008,0.155507419,-0.113195165,-0.177192028,-0.157679194,-0.148221807,-0.329945956,-0.097226315,0.088288685,0.095386946,0.106916313,0.132908276,0.276912533,0.331997512,0.134724093,-0.13047885,0.033184103,0.012846982,0.035209598
FoodCyc15pct,0.110340352,-0.162767875,0.261798317,-0.356546724,0.070407894,-0.529556437,0.488989324,0.490976061,0.715170051,0.293406709,-0.597703985,0.532333613,0.434893627,0.353927366,0.353927366,1,0.353927366,0.353927366,0.353927366,-0.513518228,0.619454634,-0.131557289,0.285893697,-0.465006271,-0.453418197,0.295245757,0.333294111,0.288665305,0.267129024,0.327803822,0.322699967,-0.222034147,0.430888776,0.296574579,-0.348205252,-0.453976506,-0.2910603,0.20562434,-0.194503606,0.188771273,-0.177527414,-0.117197907,-0.076888819,0.030455531,-0.066534348,-0.033745577,0.015358129,0.137962678,-0.129082533,0.074763426,-0.125461722,0.187231506,-0.045463065,-0.061512895,0.096910064,0.088776656,-0.089000894,-8.15E-14,-0.081042268,0.149025815,-0.182884035,-0.024221125,0.079528216,-0.185378918,0.192596762,-0.238363415,0.261928325,,0.248844793,0.314038871,-0.308152821,0.252520539,-0.284530782,,-0.242512578,0.132613424,-0.123928318,0.089855348,-0.130026978,0.315604425,-0.251874745,0.043000559,0.011985368,0.040676264,0.009312089,0.06028654,0.056807913,0.488325199,-0.51093576,0.464029176,-0.510320045,0.318551879,-0.424164271,0.445525126,-0.305875759,-0.489656515,-0.527015993,-0.583533804,-0.611432926,-0.468790397,0.303893671,0.291162062,0.330245247,0.45943081,0.242552189,0.270427971,0.171524882,-0.507335814,-0.365300539,0.126957025,0.092709395
FoodCyc30pct,0.083300075,-0.121551983,0.147101238,0.065721375,-0.102025956,-0.239474088,0.166523279,-0.018417301,0.289080853,-0.03125,-0.325898883,0.087636282,0.984281894,1,1,0.353927366,1,1,1,-0.241027556,-0.04821954,-0.235822447,0.087278719,-0.1052398,-0.127203336,0.0901254,0.060515365,0.095692897,0.073071078,0.106957225,0.09822295,-0.075874868,0.114165587,0.060444695,-0.04511622,-0.126307319,-0.285151147,0.140366168,-0.142592964,0.153347145,-0.143296748,0.074701788,-0.133238782,0.091724923,-0.151069043,0.104138471,-0.121319388,0.079796682,-0.069190858,0.142521928,-0.084426397,0.155926389,-0.18165891,-0.070771967,0.080762584,0.098833844,-0.107788078,-9.14E-14,-0.112342845,0.055901699,-0.149115352,-0.066203792,0.073315939,0.173031414,-0.178579317,0.171642438,-0.175790236,,-0.051853161,0.257906144,-0.268986909,0.267909748,-0.254698629,,-0.090969911,0.066104061,-0.066461008,0.039683627,-0.068184415,0.19107175,-0.175582834,-0.017298267,0.069340895,0.009831959,0.07758586,0.055837822,0.098775665,0.118087855,-0.084918186,0.131169448,-0.099303611,0.140825178,-0.119338008,0.155507419,-0.113195165,-0.177192028,-0.157679194,-0.148221807,-0.329945956,-0.097226315,0.088288685,0.095386946,0.106916313,0.132908276,0.276912533,0.331997512,0.134724093,-0.13047885,0.033184103,0.012846982,0.035209598
FoodCyc45pct,0.083300075,-0.121551983,0.147101238,0.065721375,-0.102025956,-0.239474088,0.166523279,-0.018417301,0.289080853,-0.03125,-0.325898883,0.087636282,0.984281894,1,1,0.353927366,1,1,1,-0.241027556,-0.04821954,-0.235822447,0.087278719,-0.1052398,-0.127203336,0.0901254,0.060515365,0.095692897,0.073071078,0.106957225,0.09822295,-0.075874868,0.114165587,0.060444695,-0.04511622,-0.126307319,-0.285151147,0.140366168,-0.142592964,0.153347145,-0.143296748,0.074701788,-0.133238782,0.091724923,-0.151069043,0.104138471,-0.121319388,0.079796682,-0.069190858,0.142521928,-0.084426397,0.155926389,-0.18165891,-0.070771967,0.080762584,0.098833844,-0.107788078,-9.14E-14,-0.112342845,0.055901699,-0.149115352,-0.066203792,0.073315939,0.173031414,-0.178579317,0.171642438,-0.175790236,,-0.051853161,0.257906144,-0.268986909,0.267909748,-0.254698629,,-0.090969911,0.066104061,-0.066461008,0.039683627,-0.068184415,0.19107175,-0.175582834,-0.017298267,0.069340895,0.009831959,0.07758586,0.055837822,0.098775665,0.118087855,-0.084918186,0.131169448,-0.099303611,0.140825178,-0.119338008,0.155507419,-0.113195165,-0.177192028,-0.157679194,-0.148221807,-0.329945956,-0.097226315,0.088288685,0.095386946,0.106916313,0.132908276,0.276912533,0.331997512,0.134724093,-0.13047885,0.033184103,0.012846982,0.035209598
FoodCyc60pct,0.083300075,-0.121551983,0.147101238,0.065721375,-0.102025956,-0.239474088,0.166523279,-0.018417301,0.289080853,-0.03125,-0.325898883,0.087636282,0.984281894,1,1,0.353927366,1,1,1,-0.241027556,-0.04821954,-0.235822447,0.087278719,-0.1052398,-0.127203336,0.0901254,0.060515365,0.095692897,0.073071078,0.106957225,0.09822295,-0.075874868,0.114165587,0.060444695,-0.04511622,-0.126307319,-0.285151147,0.140366168,-0.142592964,0.153347145,-0.143296748,0.074701788,-0.133238782,0.091724923,-0.151069043,0.104138471,-0.121319388,0.079796682,-0.069190858,0.142521928,-0.084426397,0.155926389,-0.18165891,-0.070771967,0.080762584,0.098833844,-0.107788078,-9.14E-14,-0.112342845,0.055901699,-0.149115352,-0.066203792,0.073315939,0.173031414,-0.178579317,0.171642438,-0.175790236,,-0.051853161,0.257906144,-0.268986909,0.267909748,-0.254698629,,-0.090969911,0.066104061,-0.066461008,0.039683627,-0.068184415,0.19107175,-0.175582834,-0.017298267,0.069340895,0.009831959,0.07758586,0.055837822,0.098775665,0.118087855,-0.084918186,0.131169448,-0.099303611,0.140825178,-0.119338008,0.155507419,-0.113195165,-0.177192028,-0.157679194,-0.148221807,-0.329945956,-0.097226315,0.088288685,0.095386946,0.106916313,0.132908276,0.276912533,0.331997512,0.134724093,-0.13047885,0.033184103,0.012846982,0.035209598
FoodCart,0.20205144,0.162147975,-0.081879158,0.53594649,-0.328001789,0.869309099,-0.866311556,-0.287482128,-0.757507979,-0.072020155,0.882939975,-0.56955377,-0.237101802,-0.241027556,-0.241027556,-0.513518228,-0.241027556,-0.241027556,-0.241027556,1,-0.28836151,-0.218214732,-0.513791727,0.760608847,0.752851533,-0.588916856,-0.623430488,-0.564751088,-0.573826591,-0.623431102,-0.610756732,0.612175354,-0.601662227,-0.264856306,0.371591241,0.330759369,0.385754483,-0.191662907,0.189832404,-0.194012188,0.199121942,0.115224863,0.114144472,-0.156638128,0.219496114,-0.21051851,0.203103038,-0.070731384,0.046682604,-0.099244139,0.128377742,-0.286455015,0.311015549,0.155023191,-0.136391715,-0.119661542,0.119554233,7.44E-15,0.172445474,-0.459743745,0.340298599,0.05148454,-0.065396803,0.263139069,-0.265609521,0.290310195,-0.307118948,,-0.114316944,-0.382539486,0.375790758,-0.268023638,0.304301929,,0.332217599,-0.138316065,0.159655282,-0.072965601,0.153027881,-0.32933005,0.334401418,0.122291404,-0.036264875,0.169415466,-0.075834235,0.21107899,-0.321506489,-0.580656563,0.510961727,-0.611464202,0.515981674,-0.585704324,0.653121685,-0.693150773,0.599728738,0.702618184,0.718948963,0.683831452,0.672534661,0.746890015,-0.594706554,-0.565189758,-0.628106328,-0.661828245,-0.281507259,-0.260310615,-0.042869744,0.722496572,0.632390312,-0.313838434,-0.144468818
FoodCar15n,-0.040253689,-0.333477323,0.176705729,-0.182508115,0.125762236,-0.373572867,0.373611569,0.436143355,0.38746137,-0.033061708,-0.392301486,0.348425819,0.07119024,-0.04821954,-0.04821954,0.619454634,-0.04821954,-0.04821954,-0.04821954,-0.28836151,1,0.008640184,0.282193862,-0.423462217,-0.425358292,0.299623962,0.271273573,0.289571779,0.277050043,0.322900278,0.321114887,-0.428517431,0.461803969,0.176794835,-0.263408523,-0.300366984,-0.157653454,0.047191482,-0.072461846,-0.003017132,-0.037911993,-0.063926901,0.036221851,-0.225028388,0.112062281,-0.086104187,0.092287667,0.018771823,-0.051737388,-0.024250207,-0.035733863,0.206988032,0.016663853,-0.057514278,0.077569836,-0.055002376,0.04220903,-4.55E-14,0.045409943,0.152934347,-0.228560797,-0.005987733,0.056944952,-0.260367541,0.290288523,-0.317954306,0.338189081,,-0.024245214,0.123491605,-0.125706435,0.094383579,-0.105969347,,-0.116971762,0.038252042,-0.032873639,0.015310154,-0.0334457,0.082820534,-0.029981842,-0.090582229,0.056730072,-0.154693032,0.071116525,-0.156565925,0.116288704,0.374619716,-0.364492407,0.377036371,-0.357125364,0.357680914,-0.410529966,0.371160732,-0.327439371,-0.372606739,-0.373030384,-0.38131809,-0.439723721,-0.441329495,0.312129164,0.294406399,0.326025352,0.415856668,0.041424554,0.094988378,0.286676211,-0.559367315,-0.556348421,0.178914617,0.096000982
NUMPOINTS,-0.305921411,-0.211902675,-0.120588818,-0.23688947,0.348173682,-0.18322443,0.276351504,-0.309487343,-0.00168064,0.044615058,-0.127079386,-0.05140063,-0.279214765,-0.235822447,-0.235822447,-0.131557289,-0.235822447,-0.235822447,-0.235822447,-0.218214732,0.008640184,1,0.028424005,-0.171593719,-0.168986118,0.098753538,0.115744134,0.066173583,0.055029587,0.115630083,0.081761975,-0.267154886,0.336113175,0.039413313,-0.251146872,-0.187142586,0.540891859,0.057990756,-0.098950071,0.024509146,-0.089516376,-0.274243851,0.21100925,-0.037860852,-0.079117083,0.228241061,-0.173245487,0.11306359,-0.162350608,-0.031303995,-0.175444319,0.111864565,-0.18550388,0.358753174,-0.381802289,0.111109305,-0.112969586,2.23E-16,-0.137927858,0.108313356,0.026107006,0.459532772,-0.454306435,-0.155010622,0.267413107,-0.188319934,0.251397284,,-0.026549383,0.160556696,-0.171942469,0.125388916,-0.145713251,,-0.233166285,0.219704721,-0.24435537,0.239154487,-0.252999732,0.190279212,-0.257251588,-0.209436348,0.018958849,-0.31124378,0.050837826,-0.415798243,0.256871264,0.146808602,-0.120806503,0.186682509,-0.126261094,0.240945127,-0.262774058,0.225916634,-0.202550397,-0.225793611,-0.238366033,-0.179656789,0.228823391,-0.175536232,0.105293484,0.068033993,0.120784943,0.254336042,-0.553884784,-0.623041044,-0.297206518,-0.010023616,-0.30578842,0.412109647,-0.186203022
PointsDens,-0.618833146,-0.44099904,-0.040740796,-0.510304889,0.556925723,-0.774121562,0.72224486,0.243212922,0.492631314,0.12106403,-0.709284252,0.425953784,0.107779681,0.087278719,0.087278719,0.285893697,0.087278719,0.087278719,0.087278719,-0.513791727,0.282193862,0.028424005,1,-0.802482364,-0.801919906,0.986825208,0.949752521,0.99308727,0.987279269,0.97644158,0.980572102,-0.81795458,0.489222424,0.093279673,-0.015921516,-0.0738004,-0.629163877,0.008110508,-0.013538817,0.003062987,-0.014958164,-0.034997014,-0.011432416,-0.062569378,0.008250088,-0.036494957,0.057651074,-0.206646466,0.210287579,-0.021729897,0.165636252,0.150092402,-0.089967329,-0.335290607,0.577885136,-0.147744906,0.139983318,2.95E-16,0.121631312,0.266930088,-0.136471672,-0.303185713,0.544330666,-0.390069612,0.35358088,-0.378324374,0.36490615,,0.152354741,0.112400488,-0.094704876,0.054282134,-0.046862434,,-0.169638795,-0.437190725,0.371077998,-0.565122233,0.388482599,0.07268323,-0.008893128,0.07329967,-0.101722907,0.007145911,-0.078298488,0.08552125,0.030407504,0.521243931,-0.484753821,0.584212155,-0.501131164,0.603234208,-0.614934768,0.700800593,-0.775472567,-0.626673889,-0.55685398,-0.510551455,-0.701310354,-0.802478565,0.986790593,0.993281709,0.974511912,0.277223079,0.484382771,0.435601437,-0.034281201,-0.74678141,-0.669436439,0.611691585,0.875796316
NearestDist_mean,0.325844104,0.359968903,0.106113271,0.591625969,-0.61937637,0.939475891,-0.935198383,-0.449163381,-0.759147629,-0.217645199,0.921016064,-0.700302909,-0.139231434,-0.1052398,-0.1052398,-0.465006271,-0.1052398,-0.1052398,-0.1052398,0.760608847,-0.423462217,-0.171593719,-0.802482364,1,0.990311598,-0.861005263,-0.879660074,-0.840523778,-0.838156327,-0.884440156,-0.874130913,0.802776308,-0.697610413,-0.419113623,0.355341703,0.385101335,0.519377539,-0.182838627,0.193367254,-0.18230667,0.189236965,-0.042830294,0.175581889,-0.108392388,0.168667059,-0.117368922,0.117774658,-0.004346972,-0.001307472,-0.125120575,0.07118085,-0.4137393,0.354669507,0.189864623,-0.317371746,-0.025546328,0.033711949,4.66E-16,0.084434247,-0.421029451,0.350469179,0.114142796,-0.260933611,0.475930426,-0.456137175,0.480127614,-0.479628164,,-0.284508706,-0.296626796,0.286201744,-0.164174826,0.20836598,,0.392598628,0.046877911,-0.0011422,0.15295131,-0.017710052,-0.28277094,0.265640276,-0.018864919,0.01852142,0.057564186,-0.009143903,0.047033839,-0.158677711,-0.796750176,0.747835678,-0.828521308,0.751667757,-0.753853043,0.824531393,-0.86001544,0.801113214,0.843019105,0.833003129,0.798367232,0.844338876,0.998605534,-0.863568082,-0.839464804,-0.885894364,-0.661824562,-0.449879267,-0.419867814,-0.204549087,0.881406013,0.751766722,-0.552590767,-0.468630009
NearestDist_median,0.356393224,0.357297262,0.134153026,0.581263741,-0.635652453,0.929260098,-0.920274568,-0.413734983,-0.736871065,-0.19322297,0.914848938,-0.687684344,-0.152573462,-0.127203336,-0.127203336,-0.453418197,-0.127203336,-0.127203336,-0.127203336,0.752851533,-0.425358292,-0.168986118,-0.801919906,0.990311598,1,-0.859487968,-0.877244961,-0.838747942,-0.835949899,-0.880953275,-0.87223683,0.812048869,-0.693582994,-0.432807082,0.343515814,0.381820489,0.509207598,-0.185272873,0.196753058,-0.183743898,0.1924466,-0.072078339,0.195505824,-0.098840635,0.171644441,-0.138798249,0.13841448,0.001804051,-0.005456237,-0.117065659,0.067045857,-0.418963539,0.370788263,0.185998022,-0.315453811,-0.01845592,0.027987961,3.49E-16,0.078584976,-0.406531555,0.364390914,0.109919522,-0.259382595,0.472774197,-0.46445449,0.476068832,-0.483294485,,-0.25153769,-0.299758341,0.28731557,-0.174898373,0.210375949,,0.388919534,0.042731876,0.004135848,0.151174868,-0.013322448,-0.316938219,0.283272953,-0.040718324,0.048093921,0.044243463,0.014724894,0.03518791,-0.142672442,-0.795695422,0.745277266,-0.829432765,0.75030805,-0.761536966,0.830845284,-0.858066535,0.800215674,0.842004258,0.827811176,0.787363061,0.831479302,0.989589137,-0.861611139,-0.837977214,-0.882248683,-0.65279908,-0.448351325,-0.419949525,-0.231738583,0.865539954,0.743263474,-0.548397728,-0.47874107
NUMPOINTS(500m)_mean,-0.614272205,-0.417867953,-0.070841043,-0.550371332,0.594358437,-0.831347274,0.78790986,0.253459886,0.531893626,0.114852398,-0.768965247,0.458247156,0.108875284,0.0901254,0.0901254,0.295245757,0.0901254,0.0901254,0.0901254,-0.588916856,0.299623962,0.098753538,0.986825208,-0.861005263,-0.859487968,1,0.968704394,0.997742894,0.994783965,0.991169992,0.991066779,-0.858165466,0.530082121,0.152394117,-0.062878038,-0.100781527,-0.6220854,-0.001122412,-0.008617843,-0.006158402,-0.011211696,-0.053519307,-0.001251025,-0.066582039,0.005880488,-0.020440607,0.04268871,-0.206205972,0.206327025,-0.044961317,0.15132312,0.198581911,-0.139303392,-0.338466578,0.553281116,-0.151062554,0.143266305,0,0.112714886,0.306532484,-0.156530778,-0.294583147,0.511255651,-0.435878356,0.402261827,-0.425354893,0.412667177,,0.153439154,0.115782978,-0.09989019,0.042141474,-0.043511739,,-0.188260499,-0.392522301,0.327440004,-0.515154792,0.343941476,0.101319069,-0.038886583,0.005332108,-0.045394898,-0.066141015,-0.016950036,0.002461875,0.108850244,0.562986667,-0.522017471,0.62231454,-0.536698542,0.629986771,-0.654505202,0.737363104,-0.795181685,-0.669100148,-0.609143221,-0.558506401,-0.724583135,-0.859259347,0.999318099,0.996998376,0.989172812,0.341106175,0.469197032,0.422899236,-0.026411997,-0.792966401,-0.720061094,0.655569339,0.815136661
NUMPOINTS(500m)_median,-0.576223101,-0.363760703,-0.101412804,-0.55558211,0.596074714,-0.83829505,0.801831919,0.26409119,0.560989523,0.193649167,-0.783664536,0.500676926,0.070590827,0.060515365,0.060515365,0.333294111,0.060515365,0.060515365,0.060515365,-0.623430488,0.271273573,0.115744134,0.949752521,-0.879660074,-0.877244961,0.968704394,1,0.964794608,0.963123349,0.959737985,0.96550218,-0.844936401,0.494835571,0.223200473,-0.049858082,-0.088959694,-0.61898222,-0.019819043,0.012662319,-0.024428659,0.010702683,-0.081009259,-0.001345661,-0.065974833,0.020640864,-0.02169498,0.042930711,-0.2289175,0.228966662,-0.089166816,0.167912019,0.187526938,-0.139847351,-0.367634146,0.551827125,-0.175663588,0.171096163,1.08E-16,0.133354161,0.368060797,-0.198096007,-0.31791737,0.508746276,-0.509252662,0.474922509,-0.502129511,0.494071131,,0.221913203,0.071697245,-0.05506647,-0.020389716,0.007856107,,-0.121208647,-0.379344466,0.320372331,-0.491325097,0.338387939,0.082224189,-0.027417426,0.026728027,-0.055560565,-0.039357787,-0.024249333,0.0146498,0.093189763,0.578168917,-0.541855128,0.631111274,-0.552102421,0.636315831,-0.660714845,0.720200541,-0.756599279,-0.661754291,-0.618773184,-0.575571647,-0.712666364,-0.877603347,0.969592395,0.964262637,0.958247735,0.354155627,0.470544998,0.408953104,-0.007990415,-0.770182361,-0.68414875,0.634615172,0.761296151
