K-means,OnlineGroup,Stage1,Stage2,Stage3
0,3.0,8.714343203883496,-6.991899150485443,0.277178640776699
1,7.0,9.2917582395087,-6.900437563971341,0.29072118730808527
2,4.0,9.030937112403103,-6.74795387596899,0.283804069767442
3,2.0,9.218579148936179,-6.375808652482271,0.2805280851063826
4,6.0,8.411830573248416,-7.191490605095532,0.27714999999999973
5,7.764505119453925,6.196357679180884,-6.998877133105801,0.2779573378839591
6,3.228723404255319,-10.089608244680848,-5.2723845744680835,0.24776914893617025
