Mobility(Stage 1),Grocery(Super),Grocery(Large),Grocery(Medium),Grocery(Small),NNI,PointsDens,FoodPTt,FoodPT15n,FoodCyct,FoodCyc15n,FoodCart,DTN,NP(500m),NP(1km),NP(2km),AG(0-18),AG(19-34),AG(35-49),AG(50-64),AG(65+),InDe,CO(0),CO(1),CO(2),CO(3),CO(4+),pop_den,employee/pop
34.62884 ,0.02703 ,0.16216 ,0.27027 ,0.54054 ,1.10268 ,0.01000 ,7.13265 ,6.25510 ,7.48980 ,9.72449 ,7.10204 ,470.99934 ,1.17744 ,4.19321 ,12.21239 ,0.22745 ,0.25376 ,0.23012 ,0.15621 ,0.13245 ,0.00000 ,0.25137 ,0.47273 ,0.21591 ,0.04496 ,0.01504 ,46.56993 ,0.41752 
19.22621 ,0.07792 ,0.06494 ,0.32468 ,0.53247 ,0.76603 ,0.00900 ,7.24545 ,5.62273 ,7.70455 ,8.82273 ,7.13182 ,541.49906 ,1.12867 ,4.21066 ,15.26444 ,0.25870 ,0.21700 ,0.21828 ,0.17586 ,0.13016 ,0.10000 ,0.33462 ,0.43571 ,0.17817 ,0.03842 ,0.01308 ,43.82144 ,0.31765 
24.68669 ,0.05128 ,0.15385 ,0.25641 ,0.53846 ,0.74727 ,0.00500 ,7.40609 ,5.77665 ,7.77665 ,9.25381 ,6.98985 ,560.25890 ,0.95260 ,3.26338 ,10.75097 ,0.23405 ,0.18576 ,0.22458 ,0.18077 ,0.17483 ,0.00000 ,0.23477 ,0.45554 ,0.23620 ,0.05404 ,0.01945 ,21.63768 ,0.34294 
26.44733 ,0.15385 ,0.03846 ,0.23077 ,0.57692 ,0.98312 ,0.00900 ,7.03521 ,5.46479 ,7.56338 ,9.77465 ,7.23239 ,452.15668 ,1.04835 ,3.67877 ,12.49162 ,0.24424 ,0.25861 ,0.23060 ,0.15338 ,0.11317 ,0.00000 ,0.31596 ,0.45040 ,0.17898 ,0.04154 ,0.01312 ,47.49811 ,0.47952 
17.26667 ,0.06557 ,0.06557 ,0.31148 ,0.55738 ,0.84795 ,0.01100 ,7.17857 ,5.57143 ,7.61224 ,9.63265 ,7.30612 ,497.89839 ,1.14018 ,4.03606 ,15.10878 ,0.24775 ,0.24353 ,0.23182 ,0.15912 ,0.11778 ,0.10000 ,0.35337 ,0.44201 ,0.16132 ,0.03299 ,0.01031 ,61.76316 ,0.38612 
4.88546 ,0.09615 ,0.05769 ,0.36538 ,0.48077 ,0.91302 ,0.00500 ,7.66000 ,4.64667 ,7.83333 ,8.85333 ,7.10000 ,569.77423 ,0.93792 ,3.28258 ,10.13486 ,0.22987 ,0.20646 ,0.19572 ,0.18384 ,0.18411 ,0.00000 ,0.23008 ,0.44206 ,0.24518 ,0.06080 ,0.02187 ,21.76225 ,0.34015 
17.60473 ,0.11864 ,0.08475 ,0.22034 ,0.57627 ,0.90763 ,0.00500 ,8.40994 ,3.83230 ,8.11801 ,8.50932 ,7.38509 ,554.67000 ,0.79479 ,2.66625 ,8.55888 ,0.24962 ,0.24773 ,0.21347 ,0.15842 ,0.13075 ,0.00000 ,0.22667 ,0.43848 ,0.25139 ,0.06112 ,0.02233 ,25.73322 ,0.55406 
16.60000 ,0.05000 ,0.12500 ,0.45000 ,0.37500 ,0.94570 ,0.00800 ,7.95620 ,5.12409 ,7.94891 ,9.67153 ,7.29197 ,495.91993 ,0.94269 ,3.44289 ,12.51026 ,0.24270 ,0.22248 ,0.21169 ,0.17361 ,0.14952 ,0.00000 ,0.23510 ,0.43923 ,0.24912 ,0.05948 ,0.01708 ,48.97222 ,0.29864 
8.06144 ,0.13462 ,0.03846 ,0.26923 ,0.55769 ,0.81087 ,0.01200 ,6.56647 ,6.15029 ,7.41618 ,9.97110 ,7.07514 ,470.88878 ,1.26867 ,4.09840 ,15.44832 ,0.24313 ,0.26890 ,0.21587 ,0.15904 ,0.11305 ,0.10000 ,0.42996 ,0.39532 ,0.13496 ,0.03109 ,0.00867 ,74.94605 ,0.35561 
19.57242 ,0.05263 ,0.10526 ,0.26316 ,0.57895 ,0.69982 ,0.00900 ,8.01422 ,5.25592 ,8.21327 ,9.53555 ,7.33175 ,488.39593 ,1.16750 ,3.79421 ,13.09693 ,0.24526 ,0.23566 ,0.22160 ,0.15784 ,0.13964 ,0.00000 ,0.28712 ,0.44139 ,0.21115 ,0.04568 ,0.01467 ,43.76924 ,0.34004 
20.68409 ,0.04706 ,0.02353 ,0.35294 ,0.57647 ,0.86597 ,0.03100 ,4.92135 ,9.19663 ,6.75281 ,10.00000 ,6.78652 ,318.27536 ,2.51857 ,9.23967 ,35.20259 ,0.20290 ,0.35890 ,0.22664 ,0.13344 ,0.07813 ,0.00000 ,0.57849 ,0.34670 ,0.06266 ,0.00938 ,0.00277 ,119.05987 ,0.42432 
3.64950 ,0.06849 ,0.04110 ,0.34247 ,0.54795 ,1.04280 ,0.02400 ,4.98193 ,8.53614 ,6.83735 ,10.00000 ,6.83735 ,311.05855 ,2.51559 ,9.31425 ,38.12186 ,0.21369 ,0.33720 ,0.22914 ,0.14060 ,0.07938 ,0.10000 ,0.58388 ,0.34563 ,0.05957 ,0.00858 ,0.00234 ,103.26509 ,0.59403 
28.11111 ,0.06780 ,0.05085 ,0.32203 ,0.55932 ,0.93716 ,0.01700 ,5.79882 ,7.18343 ,7.08284 ,10.00000 ,6.80473 ,404.42737 ,1.48946 ,5.44087 ,20.91127 ,0.23798 ,0.27796 ,0.24345 ,0.14763 ,0.09298 ,0.10000 ,0.48146 ,0.40478 ,0.09328 ,0.01615 ,0.00433 ,84.18736 ,0.26535 
35.02065 ,0.09524 ,0.04762 ,0.34921 ,0.50794 ,0.77049 ,0.01200 ,6.26490 ,6.90728 ,7.27815 ,9.89404 ,7.05960 ,453.65748 ,1.33344 ,4.30301 ,14.60352 ,0.25178 ,0.26557 ,0.23369 ,0.14465 ,0.10432 ,0.10000 ,0.42016 ,0.42613 ,0.12393 ,0.02297 ,0.00681 ,54.47911 ,0.31368 
35.72208 ,0.15556 ,0.06667 ,0.42222 ,0.35556 ,0.86197 ,0.00700 ,6.79452 ,6.13014 ,7.58904 ,9.62329 ,6.95205 ,587.31366 ,0.81574 ,2.94994 ,10.26712 ,0.24343 ,0.20644 ,0.20558 ,0.17900 ,0.16556 ,0.00000 ,0.23669 ,0.45413 ,0.23442 ,0.05620 ,0.01857 ,37.66608 ,0.30837 
16.02132 ,0.15686 ,0.05882 ,0.33333 ,0.45098 ,0.83597 ,0.00600 ,7.97268 ,4.73224 ,8.08197 ,9.55191 ,7.57377 ,565.05141 ,0.83534 ,2.98161 ,10.35832 ,0.26619 ,0.22876 ,0.21451 ,0.16252 ,0.12802 ,0.10000 ,0.32467 ,0.43257 ,0.18344 ,0.04443 ,0.01489 ,39.95523 ,0.32120 
19.66667 ,0.13636 ,0.11364 ,0.18182 ,0.56818 ,1.07053 ,0.01100 ,6.40972 ,6.55556 ,7.31944 ,9.74306 ,7.14583 ,431.30263 ,1.34532 ,4.66577 ,16.73267 ,0.25096 ,0.26667 ,0.23221 ,0.14734 ,0.10282 ,0.10000 ,0.41898 ,0.42052 ,0.12621 ,0.02666 ,0.00763 ,69.87489 ,0.29215 
23.15556 ,0.04762 ,0.16667 ,0.38095 ,0.40476 ,0.74768 ,0.00700 ,7.37888 ,5.11180 ,7.60248 ,9.42236 ,7.15528 ,584.01115 ,0.95391 ,3.44305 ,11.96602 ,0.26621 ,0.24050 ,0.21672 ,0.15454 ,0.12203 ,0.00000 ,0.27947 ,0.44950 ,0.20871 ,0.04805 ,0.01427 ,52.58348 ,0.26582 
-12.96469 ,0.15385 ,0.05128 ,0.25641 ,0.53846 ,1.09855 ,0.00900 ,7.37190 ,5.05785 ,7.63636 ,9.60331 ,7.14050 ,512.72761 ,1.04026 ,3.66593 ,12.51007 ,0.24270 ,0.19827 ,0.23388 ,0.17447 ,0.15069 ,0.00000 ,0.23413 ,0.46192 ,0.23299 ,0.05268 ,0.01828 ,45.64625 ,0.36117 
27.03871 ,0.04348 ,0.08696 ,0.30435 ,0.56522 ,0.85595 ,0.00800 ,6.73913 ,5.96522 ,7.37391 ,9.67826 ,7.09565 ,424.81181 ,1.27964 ,4.25255 ,13.75182 ,0.23709 ,0.18244 ,0.25644 ,0.17588 ,0.14815 ,0.00000 ,0.24740 ,0.50202 ,0.20403 ,0.03665 ,0.00990 ,33.13927 ,0.40254 
22.40668 ,0.04000 ,0.12000 ,0.40000 ,0.44000 ,0.90498 ,0.01300 ,6.33065 ,6.98387 ,7.29032 ,9.95161 ,6.99194 ,431.73972 ,1.53583 ,5.65511 ,21.02163 ,0.23600 ,0.24364 ,0.24253 ,0.15592 ,0.12190 ,0.00000 ,0.32561 ,0.47687 ,0.15823 ,0.03018 ,0.00910 ,54.36993 ,0.36772 
22.58073 ,0.03797 ,0.08861 ,0.26582 ,0.60759 ,0.79175 ,0.02200 ,5.09497 ,8.27933 ,6.84916 ,9.93855 ,6.73184 ,363.97915 ,2.13807 ,7.97719 ,30.04732 ,0.20149 ,0.34456 ,0.23683 ,0.12393 ,0.09318 ,0.00000 ,0.45323 ,0.43228 ,0.09682 ,0.01378 ,0.00390 ,89.30779 ,0.37490 
18.53806 ,0.01754 ,0.08772 ,0.26316 ,0.63158 ,1.15194 ,0.03300 ,4.13274 ,9.72566 ,6.47788 ,10.00000 ,6.43363 ,257.22005 ,3.25760 ,11.90174 ,42.23678 ,0.19924 ,0.31772 ,0.23942 ,0.14070 ,0.10292 ,0.10000 ,0.55248 ,0.36600 ,0.07024 ,0.00906 ,0.00222 ,104.58730 ,0.69411 
2.47065 ,0.07895 ,0.10526 ,0.31579 ,0.50000 ,1.00591 ,0.03100 ,4.22330 ,9.65049 ,6.43689 ,10.00000 ,6.66019 ,262.84073 ,2.71378 ,10.85381 ,41.11574 ,0.18802 ,0.25478 ,0.24338 ,0.17034 ,0.14347 ,0.20000 ,0.56002 ,0.34209 ,0.07900 ,0.01332 ,0.00558 ,127.35277 ,0.73898 
-11.44519 ,0.01235 ,0.08642 ,0.30864 ,0.59259 ,0.84973 ,0.03700 ,4.39063 ,9.72656 ,6.60156 ,10.00000 ,6.75781 ,292.66641 ,3.33339 ,12.26428 ,43.46362 ,0.18507 ,0.30865 ,0.24156 ,0.14757 ,0.11715 ,0.10000 ,0.62900 ,0.30130 ,0.05606 ,0.00945 ,0.00418 ,109.98568 ,2.39266 
-10.12781 ,0.02597 ,0.06494 ,0.36364 ,0.54545 ,0.83666 ,0.03500 ,4.41353 ,9.43609 ,6.57143 ,10.00000 ,6.78947 ,308.35849 ,3.15855 ,12.39799 ,44.76924 ,0.20044 ,0.32517 ,0.22045 ,0.13702 ,0.11692 ,0.10000 ,0.61102 ,0.31775 ,0.05903 ,0.00935 ,0.00286 ,110.63172 ,1.12988 
