LSOA11CD,Employee
E01001604,510
E01001605,224
E01001606,302
E01001607,202
E01001608,334
E01001609,1632
E01001610,244
E01001611,169
E01001613,474
E01001614,756
E01001615,1817
E01001617,492
E01001618,182
E01001619,488
E01001620,293
E01001621,223
E01001623,192
E01001624,228
E01001625,341
E01001629,635
E01001631,1044
E01001632,443
E01001633,229
E01001634,386
E01001635,155
E01001636,531
E01001637,226
E01001638,278
E01001640,556
E01001641,3358
E01001642,601
E01001644,658
E01001645,238
E01001646,414
E01001647,158
E01001648,447
E01001649,252
E01001650,239
E01001651,195
E01001652,486
E01001653,213
E01001654,215
E01001655,373
E01001656,175
E01001657,575
E01001658,329
E01001659,557
E01001660,164
E01001661,424
E01001662,688
E01001664,705
E01001665,454
E01001666,1858
E01001667,4048
E01001668,1131
E01001669,240
E01001671,303
E01001672,401
E01001673,607
E01001674,231
E01001675,727
E01001676,208
E01001677,737
E01001678,345
E01001679,415
E01001680,200
E01001681,221
E01001682,784
E01001683,301
E01001684,155
E01001685,211
E01001686,194
E01001687,496
E01001688,677
E01001690,146
E01001692,203
E01001693,180
E01001694,255
E01001695,161
E01001696,1330
E01001697,310
E01001698,356
E01001699,2406
E01001700,403
E01001701,3145
E01001702,140
E01001703,289
E01001704,251
E01001705,566
E01001706,271
E01001708,250
E01001709,2853
E01001710,120
E01001711,682
E01001712,329
E01001713,179
E01001714,373
E01001715,196
E01001716,216
E01001717,153
E01001718,490
E01001719,110
E01001720,329
E01001722,302
E01001723,400
E01001724,861
E01001725,375
E01001726,108
E01001727,328
E01001728,372
E01001729,3358
E01001730,391
E01001731,1010
E01001732,272
E01001733,548
E01001734,738
E01001735,451
E01001736,251
E01001737,704
E01001738,372
E01001739,465
E01001740,295
E01001741,371
E01001742,296
E01001744,255
E01001745,660
E01001746,101
E01001747,964
E01001748,1178
E01001749,277
E01001750,477
E01001751,342
E01001752,883
E01001753,173
E01001754,744
E01001755,1215
E01001756,886
E01001757,181
E01001758,475
E01001759,299
E01001760,1137
E01001761,440
E01001762,3354
E01001763,778
E01001764,375
E01001765,288
E01001767,305
E01001768,338
E01001769,230
E01001770,628
E01001772,107
E01001773,659
E01001774,691
E01001775,244
E01001776,493
E01001777,1700
E01001779,2221
E01001780,1734
E01001781,252
E01001782,1333
E01001783,193
E01001784,592
E01001785,196
E01001786,279
E01001787,331
E01001788,185
E01001789,217
E01001790,142
E01001791,244
E01001792,277
E01001793,392
E01001794,434
E01001795,441
E01001796,430
E01001798,282
E01001799,490
E01001800,354
E01001801,249
E01001802,177
E01001803,264
E01001804,362
E01001805,383
E01001806,540
E01001807,572
E01001808,852
E01001809,552
E01001811,149
E01001812,307
E01001813,173
E01001814,865
E01001815,204
E01001816,333
E01001819,316
E01001820,120
E01001821,156
E01001822,166
E01001823,305
E01001824,190
E01001825,674
E01001826,387
E01001827,246
E01001828,352
E01001829,632
E01001830,923
E01001831,974
E01001832,339
E01001833,410
E01001834,425
E01001835,296
E01001836,491
E01001837,490
E01001838,184
E01001839,976
E01001840,326
E01001841,214
E01001842,150
E01001843,119
E01001844,334
E01001845,164
E01001846,506
E01001847,242
E01001848,724
E01001849,1146
E01001850,200
E01001851,823
E01001852,1319
E01001853,227
E01001854,767
E01001855,374
E01001856,603
E01001857,817
E01001858,599
E01001859,235
E01001860,450
E01001861,312
E01001862,470
E01001863,218
E01001864,388
E01001865,602
E01001866,1267
E01001867,1685
E01001868,134
E01001869,2308
E01001870,2196
E01001871,1872
E01001872,244
E01001873,323
E01001874,8663
E01001875,370
E01001876,5528
E01001877,2432
E01001878,205
E01001879,327
E01001880,845
E01001881,980
E01001882,447
E01001883,887
E01001884,457
E01001885,240
E01001886,377
E01001887,332
E01001888,663
E01001889,538
E01001890,4209
E01001891,2231
E01001892,163
E01001893,748
E01001894,3964
E01001895,623
E01001896,542
E01001897,481
E01001898,9380
E01001899,3741
E01001900,2758
E01001901,420
E01001902,701
E01001903,538
E01001904,439
E01001905,292
E01001906,247
E01001907,207
E01001908,292
E01001909,415
E01001910,422
E01001911,2834
E01001912,659
E01001913,315
E01001914,430
E01001915,1355
E01001916,644
E01001917,258
E01001918,203
E01001919,401
E01001920,2100
E01001921,574
E01001922,787
E01001923,706
E01001924,355
E01001925,846
E01001926,524
E01001927,274
E01001928,680
E01001929,328
E01001930,401
E01001931,407
E01001932,1403
E01001933,1386
E01001934,1230
E01001935,386
E01001937,498
E01001938,461
E01001939,2911
E01001940,342
E01001941,1969
E01001942,573
E01001943,7512
E01001944,257
E01001945,376
E01001946,6319
E01001947,266
E01001948,1015
E01001949,418
E01001950,699
E01001951,723
E01001952,1422
E01001953,1457
E01001954,234
E01001955,389
E01001956,240
E01001957,216
E01001958,185
E01001959,202
E01001960,255
E01001961,411
E01001962,333
E01001963,626
E01001964,321
E01001965,225
E01001966,482
E01001967,295
E01001968,376
E01001969,366
E01001970,407
E01001971,518
E01001972,525
E01001973,1066
E01001974,521
E01001975,352
E01001976,205
E01001977,247
E01001978,474
E01001979,1145
E01001980,267
E01001981,530
E01001982,286
E01001983,226
E01001984,406
E01001985,374
E01001986,300
E01001987,342
E01001988,532
E01001989,564
E01001990,1986
E01001991,609
E01001992,384
E01001993,314
E01001994,517
E01001995,357
